,Sample,Subsample,DAS sample name,nEvtGen,xSec (pb) (GenXsec),xSec (pb) (Used),Lumi (pb-1),Comments ...,xSec(AN),Lumi (using AN),,,  
,,,,,,,,,,,,,
,,TTTT,TTTT_TuneCP5_13TeV-amcatnlo-pythia8,8731000,8.091e-03 +- 1.165e-05,0.008213,1063070741.5074,,0.008213,1063070741.5074,,,
,,TTTW,TTTW_TuneCP5_13TeV-madgraph-pythia8,360000,7.282e-04 +- 1.253e-06,0.0007342,490329610.4604,,0.0007342,490329610.4604,,,
,,TTWH,TTWH_TuneCP5_13TeV-madgraph-pythia8,123000,1.142e-03 +- 1.269e-06,0.001141,107800175.2848,,0.001141,107800175.2848,,,
,,TTWW,TTWW_TuneCP5_13TeV-madgraph-pythia8,698000,7.000e-03 +- 8.231e-06,0.006995,99785561.1151,,0.006995,99785561.1151,,,
,,TTWZ,TTWZ_TuneCP5_13TeV-madgraph-pythia8,4000,2.457e-03 +- 2.678e-06,0.002448,1633986.9281,,0.002448,1633986.9281,,,
,,TTZH,TTZH_TuneCP5_13TeV-madgraph-pythia8,350000,1.135e-03 +- 1.400e-06,0.001129,310008857.3959,,0.001129,310008857.3959,,,
,,TTZZ,TTZZ_TuneCP5_13TeV-madgraph-pythia8,327000,1.390e-03 +- 1.667e-06,0.001386,235930735.9307,,0.001386,235930735.9307,,,
,,tZq_ll,tZq_ll_4f_ckm_NLO_TuneCP5_13TeV-amcatnlo-pythia8,4364000,7.561e-02 +- 2.088e-04,0.942,4632696.3907,,0.942,4632696.3907,,,
,,,,,,,,,,,,,
,Single V+X processes,,,,,,,,,,,,
,HTbinnedWJets,Inclusive ,WJetsToLNu_TuneCP5_13TeV-madgraphMLM-pythia8,78307186,5.345e+04 +- 1.315e+02,53450.0000,1465.0549,Not using in my analysis,61526.7,1272.7350,,,
,,70to100,WJetsToLNu_HT-70To100_TuneCP5_13TeV-madgraphMLM-pythia8,44576510,1.271e+03 +- 4.571e+00,1271.0000,35071.9984,,,,,,
,,100to200,WJetsToLNu_HT-100To200_TuneCP5_13TeV-madgraphMLM-pythia8,47424468,1.250e+03 +- 5.261e+00,1250.0000,37939.5744,,,,,,
,,200to400,WJetsToLNu_HT-200To400_TuneCP5_13TeV-madgraphMLM-pythia8,42281979,3.380e+02 +- 3.878e+00,338.0000,125094.6124,,,,,,
,,400to600,WJetsToLNu_HT-400To600_TuneCP5_13TeV-madgraphMLM-pythia8,5468473,4.544e+01 +- 2.599e-01,45.4400,120344.9164,,,,,,
,,600to800,WJetsToLNu_HT-600To800_TuneCP5_13TeV-madgraphMLM-pythia8,5545298,1.089e+01 +- 5.196e-02,10.8900,509210.1010,,,,,,
,,800to1200,WJetsToLNu_HT-800To1200_TuneCP5_13TeV-madgraphMLM-pythia8,5088483,4.930e+00 +- 2.560e-02,4.9300,1032146.6531,,,,,,
,,1200to2500,WJetsToLNu_HT-1200To2500_TuneCP5_13TeV-madgraphMLM-pythia8,4752118,1.157e+00 +- 4.855e-03,1.1570,4107275.7131,,,,,,
,,2500toInf,WJetsToLNu_HT-2500ToInf_TuneCP5_13TeV-madgraphMLM-pythia8,1185699,2.642e-02 +- 1.517e-04,0.0026,448788417.8653,,,,,,
,WJetsNLO,Inclusive ,WJetsToLNu_TuneCP5_13TeV-amcatnloFXFX-pythia8,,6.695e+04 +- 3.075e+02,66950.0000,0.0000,Not using in my analysis,,,,,
,,100to250,WJetsToLNu_Pt-100To250_MatchEWPDG20_TuneCP5_13TeV-amcatnloFXFX-pythia8,,7.510e+02 +- 7.187e+00,751.0000,0.0000,Not using in my analysis,,,,,
,,250to400,WJetsToLNu_Pt-250To400_MatchEWPDG20_TuneCP5_13TeV-amcatnloFXFX-pythia8,,2.741e+01 +- 2.335e-01,27.4100,0.0000,Not using in my analysis,,,,,
,,400to600,WJetsToLNu_Pt-400To600_MatchEWPDG20_TuneCP5_13TeV-amcatnloFXFX-pythia8,,3.549e+00 +- 3.579e-02,3.5490,0.0000,Not using in my analysis,,,,,
,,600toInf,WJetsToLNu_Pt-600ToInf_MatchEWPDG20_TuneCP5_13TeV-amcatnloFXFX-pythia8,,5.388e-01 +- 4.464e-03,0.5388,0.0000,Not using in my analysis,,,,,
,WGamma,WGToLnuG_01J,WGToLNuG_01J_5f_TuneCP5_13TeV-amcatnloFXFX-pythia8,35120266,1.924e+02 +- 1.055e+00,489.0000,71820.5849,,489,71820.5849,,,
,DYJetsToLL,M10to50,DYJetsToLL_M-10to50_TuneCP5_13TeV-madgraphMLM-pythia8,68480179,1.594e+04 +- 4.184e+01,18610,3679.7517,,18610,3679.7517,,,
,,M50,DYJetsToLL_M-50_TuneCP5_13TeV-amcatnloFXFX-pythia8,195529774,6.448e+03 +- 3.513e+01,5675,34454.5857,,5675,34454.5857,,,
,ZGamma,ZGToLLG_01J,ZGToLLG_01J_5f_TuneCP5_13TeV-amcatnloFXFX-pythia8,29890946,5.049e+01 +- 4.366e-01,50.4900,592017.1519,,172.8,172980.0116,,,
,,,,,,,,,,,,,
,VV processes,,,,,,,,,,,,
,WW,WWTo1L1Nu2Q,WWTo1L1Nu2Q_4f_TuneCP5_13TeV-amcatnloFXFX-pythia8,39931603,5.114e+01 +- 6.865e-01,51.1400,780829.1553,,,,,,
