,2018_UL,,,,,,,,,,
,,,,,,,,,,,
,Data,,,,,,,,,,
,Sample,Subsample,DAS,nEvtTotal,Lumi (pb-1),Original nEvt,Missing data (%),,,,
,SingleMuon,SingleMuon_A,/SingleMuon/Run2018A-UL2018_MiniAODv2_NanoAODv9-v2/NANOAOD,241608232,,241608232  ,0.0000,,,,
,,SingleMuon_B,/SingleMuon/Run2018B-UL2018_MiniAODv2_NanoAODv9-v2/NANOAOD,119918017,,119918017  ,0.0000,,,,
,,SingleMuon_C,/SingleMuon/Run2018C-UL2018_MiniAODv2_NanoAODv9-v2/NANOAOD,109986009,,109986009  ,0.0000,,Color codes,,
,,SingleMuon_D,/SingleMuon/Run2018D-UL2018_MiniAODv2_NanoAODv9-v1/NANOAOD,513909894,,513909894  ,0.0000,,,Not enough luminosity,
,EGamma,EGamma_A,/EGamma/Run2018A-UL2018_MiniAODv2_NanoAODv9-v1/NANOAOD,339013231,,339013231  ,0.0000,,,Very wrong xsec,
,,EGamma_B,/EGamma/Run2018B-UL2018_MiniAODv2_NanoAODv9-v1/NANOAOD,153792795,,153792795  ,0.0000,,,Under process,
,,EGamma_C,/EGamma/Run2018C-UL2018_MiniAODv2_NanoAODv9-v1/NANOAOD,147827904,,147827904  ,0.0000,,,Highlighted comments,
,,EGamma_D,/EGamma/Run2018D-UL2018_MiniAODv2_NanoAODv9-v3/NANOAOD,751683150,,751683150  ,0.0000,,,Using values from AN,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,MC (SM backgrounds),,,,,,,,,,
,/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1*/NANOAODSIM,,,,,,,,Numbers from Angira's AN,,
,Sample,Subsample,DAS sample name,nEvtGen,xSec (pb) (GenXsec),xSec (pb) (Used),Lumi (pb-1),Comments ...,xSec(AN),Lumi (using AN),
,,,,,,,,,,,
,,100to200,WJetsToLNu_HT-100To200_TuneCP5_13TeV-madgraphMLM-pythia8,51408967,1.250e+03 +- 5.261e+00,1250.0000,41127.1736,,,,
,,200to400,WJetsToLNu_HT-200To400_TuneCP5_13TeV-madgraphMLM-pythia8,58225632,3.380e+02 +- 3.878e+00,338.0000,172265.1834,,,,
,,400to600,WJetsToLNu_HT-400To600_TuneCP5_13TeV-madgraphMLM-pythia8,7444030,4.544e+01 +- 2.599e-01,45.4400,163821.0827,,,,
,,600to800,WJetsToLNu_HT-600To800_TuneCP5_13TeV-madgraphMLM-pythia8,7718765,1.089e+01 +- 5.196e-02,10.8900,708793.8476,,,,
,,800to1200,WJetsToLNu_HT-800To1200_TuneCP5_13TeV-madgraphMLM-pythia8,7306187,4.930e+00 +- 2.560e-02,4.9300,1481985.1927,,,,
,,1200to2500,WJetsToLNu_HT-1200To2500_TuneCP5_13TeV-madgraphMLM-pythia8,6481518,1.157e+00 +- 4.855e-03,1.1570,5602003.4572,,,,
,,2500toInf,WJetsToLNu_HT-2500ToInf_TuneCP5_13TeV-madgraphMLM-pythia8,2097648,2.642e-02 +- 1.517e-04,0.0026,793962149.8865,,,,
,WJetsNLO,Inclusive ,WJetsToLNu_TuneCP5_13TeV-amcatnloFXFX-pythia8,29117828,6.695e+04 +- 3.075e+02,66950.0000,434.9190,Not using in my analysis,,,
,,100to250,WJetsToLNu_Pt-100To250_MatchEWPDG20_TuneCP5_13TeV-amcatnloFXFX-pythia8,479571205,7.510e+02 +- 7.187e+00,751.0000,638576.8375,Not using in my analysis,,,
,,250to400,WJetsToLNu_Pt-250To400_MatchEWPDG20_TuneCP5_13TeV-amcatnloFXFX-pythia8,103248201,2.741e+01 +- 2.335e-01,27.4100,3766807.7709,Not using in my analysis,,,
