,2016preVFP_UL,,,,,,,,,
,,,,,,,,,,
,Data,,,,,,,,,
,Sample,Subsample,DAS,nEvtTotal,Lumi (pb-1),Original nEvt,Missing data (%),,,
,ZZ,ZZTo2L2Nu,ZZTo2L2Nu_TuneCP5_13TeV_powheg_pythia8,16862000,9.738e-01 +- 9.971e-04,0.9738,17315670.5689,,,
,,ZZTo2Q2L,ZZTo2Q2L_mllmin4p0_TuneCP5_13TeV-amcatnloFXFX-pythia8,16060738,3.703e+00 +- 2.972e-02,3.7030,4337223.3324,,,
,,ZZTo2Q2Nu,ZZTo2Q2Nu_TuneCP5_13TeV-amcatnloFXFX-pythia8,2468069,4.498e+00 +- 2.169e-02,4.4980,548703.6461,,,
,,ZZTo4L,ZZTo4L_TuneCP5_13TeV_powheg_pythia8,49691000,1.325e+00 +- 1.220e-03,1.3250,37502641.5094,,,
,,,,,,,,,,
,VVV processes,,,,,,,,,
,WWW,Inclusive,WWW_4F_TuneCP5_13TeV-amcatnlo-pythia8,71000,2.158e-01 +- 2.479e-0,0.2158,329008.3411,,,
,WWZ,Inclusive,WWZ_4F_TuneCP5_13TeV-amcatnlo-pythia8,81000,1.707e-01 +- 1.757e-04,0.1707,474516.6960,,,
,WZZ,Inclusive,WZZ_TuneCP5_13TeV-amcatnlo-pythia8,160000,5.709e-02 +- 6.213e-05,0.0571,2802592.3980,,,
,ZZZ,Inclusive,ZZZ_TuneCP5_13TeV-amcatnlo-pythia8,81000,1.476e-02 +- 1.075e-05,0.0148,5487804.8780,,,
,,,,,,,,,,
,Higgs processes,,,,,,,,,
,Higgs,bbH_HToZZTo4L,bbH_HToZZTo4L_M125_TuneCP2_13TeV-jhugenv7011-pythia8,469560,1.000e+00 +- 1.000e+14,0.0001303,3603683806.6002,,,
,,GluGluHToZZTo4L,GluGluHToZZTo4L_M125_TuneCP5_13TeV_powheg2_JHUGenV7011_pythia8,1000000,2.887e+01 +- 2.027e-02,0.0000328,30525030525.0305,,,
,,GluGluToZH,GluGluToZH_HToZZTo4L_M125_TuneCP5_13TeV-jhugenv723-pythia8,991879,4.889e-06 +- 4.889e+08,0.0129700,76474865.0732,,,
,,GluGluZH,GluGluZH_HToWW_ZTo2L_M-125_TuneCP5_13TeV-powheg-pythia8,250000,6.185e-03 +- 6.763e-06 ,0.0026480,94410876.1329,,,
,,ttHToNonbb,ttHToNonbb_M125_TuneCP5_13TeV-powheg-pythia8,1977996,5.013e-01 +- 1.171e-02,0.2118000,9338980.1700,,,
,,VBF_HToZZTo4L,VBF_HToZZTo4L_M125_TuneCP5_13TeV_powheg2_JHUGenV7011_pythia8,188000,3.935e+00 +- 1.774e-02,0.0010100,186138613.8614,,,
,,VHToNonbb,VHToNonbb_M125_TuneCP5_13TeV-amcatnloFXFX_madspin_pythia8,423216,2.512e+00 +- 1.716e-02,0.0917700,4611703.1710,,,
