,,2017_UL,,,,,,,,,,,,,,
,"Samples are ordered by categories, then within each category, alphanumerically.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Data,,,,,,,,,,,,,,
,sample_subsample,Full DAS string,nEvtTotal,"Lumi (pb-1)
(Golden JSON)",,,,True value,,,,,,,,
,,,,,,,,,,,,,,,,
,TW_antitop,/ST_tW_antitop_5f_inclusiveDecays_TuneCP5_13TeV-powheg-pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v2/NANOAODSIM,3.251e+01 +- 2.346e-02,32.5100,5674000,,0.000,174530.914,,,79.3,,,,,
,TW_top,/ST_tW_top_5f_inclusiveDecays_TuneCP5_13TeV-powheg-pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v2/NANOAODSIM,3.245e+01 +- 2.338e-02,32.4500,5649000,,0.000,174083.205,,,79.3,,,,,
,,,,,,,,,,,,,,,,
,TT + V,,,,,,,,,,,,,,,
,TTV_TTWtoLNu,/TTWJetsToLNu_TuneCP5_13TeV-amcatnloFXFX-madspin-pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v1/NANOAODSIM,2.157e-01 +- 1.122e-03,0.2157,7140411,,0.000,33103435.327,,,,,,,,
,TTV_TTZtoLL,/TTZToLL_TuneCP5_13TeV_amcatnlo-pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v3/NANOAODSIM,7.468e-02 +- 1.473e-04,0.0747,29787000,,0.000,398861810.391,,,,,,,,
,,,,,,,,,,,,,,,,
,RareTop,,,,,,,,,,,,,,,
,RareTop_THQ,/THQ_ctcvcp_4f_Hincl_TuneCP5_13TeV_madgraph_pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v2/NANOAODSIM,7.445e-01 +- 1.190e-03,0.3189,7158996,,0.000,22449031.044,arXiv:2202.08676,,,,,,,
,RareTop_THW,/THW_ctcvcp_5f_Hincl_TuneCP5_13TeV_madgraph_pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v1/NANOAODSIM,1.476e-01 +- 2.754e-04,0.1503,14325000,,0.000,95309381.238,arXiv:2202.08676,,,,,,,
,RareTop_TTHH,/TTHH_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v2/NANOAODSIM,6.679e-04 +- 9.961e-07,0.0007,360000,,0.000,540946656.649,arXiv:2202.08676,,,,,,,
,RareTop_TTTJ,/TTTJ_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v2/NANOAODSIM,4.007e-04 +- 4.989e-07,0.0004,354000,,0.000,890790135.883,arXiv:2202.08676,,,,,,,
,RareTop_TTTT,/TTTT_TuneCP5_13TeV-amcatnlo-pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v2/NANOAODSIM,8.091e-03 +- 1.165e-05,0.0082,10351000,,0.000,1260319006.453,arXiv:2202.08676,,,,,,,
,RareTop_TTTW,/TTTW_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v2/NANOAODSIM,7.310e-04 +- 1.001e-06,0.0007,360000,,0.000,490329610.460,arXiv:2202.08676,,,,,,,
,RareTop_TTWH,/TTWH_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v2/NANOAODSIM,1.141e-03 +- 1.388e-06,0.0011,360000,,0.000,315512708.151,arXiv:2202.08676,,,,,,,
,RareTop_TTWW,/TTWW_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v1/NANOAODSIM,6.994e-03 +- 7.821e-06,0.0070,698000,,0.000,99785561.115,arXiv:2202.08676,,,,,,,
,RareTop_TTWZ,/TTWZ_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v1/NANOAODSIM,2.456e-03 +- 6.628e-06,0.0024,350000,,0.000,142973856.209,arXiv:2202.08676,,,,,,,
,RareTop_TTZH,/TTZH_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v2/NANOAODSIM,1.136e-03 +- 1.300e-06,0.0011,350000,,0.000,310008857.396,arXiv:2202.08676,,,,,,,
,RareTop_TTZZ,/TTZZ_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v1/NANOAODSIM,1.390e-03 +- 1.667e-06,0.0014,327000,,0.000,235930735.931,arXiv:2202.08676,,,,,,,
,RareTop_TZQB,/tZq_ll_4f_ckm_NLO_TuneCP5_13TeV-amcatnlo-pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v1/NANOAODSIM,7.561e-02 +- 2.088e-04,0.9420,9530000,,0.000,10116772.824,arXiv:2202.08676,,,,,,,
,,,,,,,,,,,,,,,,
,VV,,,,,,,,,,,,,,,
,VVSS_WpWpEWK,/WpWpJJ_EWK_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v2/NANOAODSIM,2.786e-02 +- 9.023e-05,0.0279,150000,,0.000,5384063.173,,,,,,,,
,VVSS_WpWpQCD,/WpWpJJ_QCD_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v2/NANOAODSIM,2.358e-02 +- 9.513e-05,0.0236,148000,,0.000,6276505.513,,,,,,,,
,VV_WWto2L2Nu,/WWTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v2/NANOAODSIM,1.109e+01 +- 7.040e-03,11.0900,7098000,,0.000,640036.069,,,,,,,,
,VV_WWto4Q,/WWTo4Q_4f_TuneCP5_13TeV-amcatnloFXFX-pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v1/NANOAODSIM,5.191e+01 +- 5.683e-01,51.9100,39443728,,0.000,759848.353,,,,,,,,
,VV_WWtoLNu2Q,/WWTo1L1Nu2Q_4f_TuneCP5_13TeV-amcatnloFXFX-pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v1/NANOAODSIM,5.090e+01 +- 2.135e-01,50.9000,39931603,,0.000,784510.864,,,,,,,,
,VV_WZto2L2Q,/WZTo2Q2L_mllmin4p0_TuneCP5_13TeV-amcatnloFXFX-pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v2/NANOAODSIM,6.409e+00 +- 2.368e-02,6.4090,29091996,,0.000,4539241.067,,,,,,,,
,VV_WZto3LNu,/WZTo3LNu_TuneCP5_13TeV-amcatnloFXFX-pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v2/NANOAODSIM,5.249e+00 +- 1.981e-02,5.2490,10339582,,0.000,1969819.394,,,,,,,,
,VV_WZtoLNu2Q,/WZTo1L1Nu2Q_4f_TuneCP5_13TeV-amcatnloFXFX-pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v1/NANOAODSIM,9.370e+00 +- 2.956e-01,9.3700,7345742,,0.000,783963.927,,,,,,,,
,VV_ZZto2L2Nu,/ZZTo2L2Nu_TuneCP5_13TeV_powheg_pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v1/NANOAODSIM,9.738e-01 +- 9.971e-04,0.9738,40839000,,0.000,41937769.563,,,,,,,,
,VV_ZZto2L2Q,/ZZTo2Q2L_mllmin4p0_TuneCP5_13TeV-amcatnloFXFX-pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v1/NANOAODSIM,3.689e+00 +- 1.627e-02,3.6890,29521496,,0.000,8002574.139,,,,,,,,
,VV_ZZto2Nu2Q,/ZZTo2Nu2Q_5f_TuneCP5_13TeV-amcatnloFXFX-pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v1/NANOAODSIM,4.501e+00 +- 2.026e-02,4.5010,4934394,,0.000,1096288.380,,,,,,,,
,VV_ZZto4L,/ZZTo4L_TuneCP5_13TeV_powheg_pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v2/NANOAODSIM,1.325e+00 +- 1.220e-03,1.3250,99388000,,0.000,75009811.321,,,,,,,,
,,,,,,,,,,,,,,,,
,VVV,,,,,,,,,,,,,,,
