,Run3Summer22,,,,,,,,,,,,
,Samples are ordered according to their importance,,,,,,,,,,,,
,,,,,,,,,,,,,
,Data,,,,,,,,,,,,
,sample_subsample,Full DAS string,nEvtTotal,"Lumi (pb-1)
(Golden JSON)",,,,,,,,,
,,,,,,,,,,,,,
,Muon_C,/Muon/Run2022C-ReRecoNanoAODv11-v1/NANOAOD,138018846  ,5010.4000,,,,,,,,,
,Muon_D,/Muon/Run2022D-ReRecoNanoAODv11-v1/NANOAOD,75494657  ,2970.0000,,,,,,,,,
,,,,,,,,,,,,,
,EGamma_C,/EGamma/Run2022C-ReRecoNanoAODv11-v1/NANOAOD,263336263  ,5010.4000,262258077,,,,,,,,
,EGamma_D,/EGamma/Run2022D-ReRecoNanoAODv11-v1/NANOAOD,88530905  ,2970.0000,,,,,,,,,
,,,Total,7980.4000,,,,,,,,,
,,,,,,,,,,,,,
,,Golden JSON = https://cms-service-dqmdc.web.cern.ch/CAF/certification/Collisions22/Cert_Collisions2022_355100_362760_Golden.json,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,MC (SM backgrounds),,,,,,,,,,,,
,sample_subsample,Full DAS string,xSec (pb),xSec (pb) (used),nEvtGen,nEvtPass,Accp (%),Lumi (pb-1),Comments/Source,,,Color codes,
,,,,,,,,,,,,,Not enough events
,Single W production,,,,,,,,,,,,Issues to check
,TW_TWminusto2L2Nu,/TWminusto2L2Nu_TuneCP5_13p6TeV_powheg-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v2/NANOAODSIM,3.599e+01 +- 1.292e-02,4.6511,2369680,6056,0.256,509488.078,arXiv:2409.06444,https://twiki.cern.ch/twiki/bin/view/LHCPhysics/SingleTopNNLORef,,,
,TW_TWminustoLNu2Q,/TWminustoLNu2Q_TuneCP5_13p6TeV_powheg-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v2/NANOAODSIM,3.599e+01 +- 1.292e-02,9.4400,4643600,7413,0.160,491906.780,Self calculation,,,,
,TW_TbarWplusto2L2Nu,/TbarWplusto2L2Nu_TuneCP5_13p6TeV_powheg-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v2/NANOAODSIM,3.605e+01 +- 1.296e-02,4.6511,2327688,5918,0.254,500459.676,arXiv:2409.06444,,,,
,TW_TbarWplustoLNu2Q,/TbarWplustoLNu2Q_TuneCP5_13p6TeV_powheg-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v2/NANOAODSIM,3.605e+01 +- 1.296e-02,9.4400,4288466,6615,0.154,454286.653,Self calculation,,,,
,,,,,,,,,,,,,
,TT + V,,,,,,,,,,,,
,TTV_TTZ,/TTZ-ZtoQQ-1Jets_TuneCP5_13p6TeV_amcatnloFXFX-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v2/NANOAODSIM,6.819e-01 +- 8.008e-03,0.6819,376687,492,0.131,552407.978,,,,,
,,,,,,,,,,,,,
,RareTop,,,,,,,,,,,,
,RareTop_THQ,/THQ_ctcvcp_HIncl_M-125_4FS_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v2/NANOAODSIM,7.419e-01 +- 5.018e-04,0.7419,3976039,28670,0.721,5359265.400,,,,,
